id,age,gender,height_cm,weight_kg,body_fat_%,diastolic,systolic,gripForce,sit_and_bend_forward_cm,sit-ups_counts,broad_jump_cm,class
2735,62.0,M,176.2,74.2,19.8,79.0,123.0,38.8,3.5,29.0,192.0,mid_performance
2736,48.0,M,165.2,70.0,29.1,90.0,147.0,39.5,14.5,44.0,211.0,mid_performance
2737,30.0,M,176.6,92.3,24.5,87.0,130.0,54.7,13.9,41.0,227.0,mid_performance
2738,40.0,M,189.3,93.2,16.5,93.0,146.0,62.1,22.3,51.0,255.0,high_performance
2739,57.0,M,177.0,73.2,21.3,64.0,101.0,40.0,16.6,30.0,203.0,mid_performance
2740,21.0,M,173.2,89.2,25.2,63.0,134.0,58.0,4.4,50.0,208.0,low_performance
2741,24.0,M,184.9,82.5,17.2,75.0,144.0,34.8,27.3,50.0,259.0,mid_performance
2742,48.0,M,182.3,82.5,20.6,78.0,136.0,47.2,10.3,43.0,210.0,mid_performance
2743,41.0,M,174.5,76.32,20.1,81.0,157.0,46.8,21.4,57.0,219.0,high_performance
2744,30.0,M,175.1,75.5,18.4,99.0,141.0,46.1,5.3,32.0,228.0,low_performance
2745,22.0,M,160.5,60.8,18.9,64.0,118.0,30.9,13.7,60.0,196.0,mid_performance
2746,37.0,M,175.2,66.7,19.6,59.0,99.0,39.6,7.6,44.0,194.0,mid_performance
2747,21.0,M,181.4,69.6,17.0,86.0,136.0,44.0,10.8,56.0,206.0,mid_performance
2748,31.0,M,176.7,93.84,18.3,82.0,133.0,49.2,15.2,50.0,226.0,mid_performance
2749,30.0,M,172.4,61.8,13.9,71.0,131.0,42.5,7.2,48.0,234.0,mid_performance
2750,45.0,F,162.4,59.5,30.7,81.0,123.0,29.1,15.2,25.0,182.0,mid_performance
2751,33.0,F,168.0,48.7,21.1,50.0,90.0,23.1,23.1,40.0,144.0,mid_performance
2752,26.0,F,164.9,67.4,36.9,62.0,112.0,25.6,19.7,26.0,161.0,mid_performance
2753,21.0,F,167.9,63.2,35.3,91.0,156.0,31.2,20.6,40.0,168.0,mid_performance
2754,21.0,M,184.0,95.0,21.9,93.0,142.0,54.7,-5.1,55.0,229.0,low_performance
2755,63.0,M,162.1,60.9,22.6,84.0,120.0,38.8,-1.0,18.0,162.0,low_performance
2756,50.0,M,173.1,81.8,30.3,72.0,115.0,31.7,-9.1,29.0,165.0,low_performance
2757,31.0,F,171.0,58.8,26.6,69.0,112.0,24.2,10.3,39.0,170.0,mid_performance
2758,60.0,F,141.0,46.1,25.5,80.0,120.0,21.1,15.3,14.0,140.0,mid_performance
2759,23.0,M,162.2,61.5,10.9,73.0,114.0,35.9,11.0,55.0,247.0,mid_performance
2760,62.0,M,167.0,61.8,10.2,70.0,119.0,40.9,12.9,35.0,195.0,high_performance
2761,34.0,M,174.1,79.0,21.0,65.0,134.0,41.8,18.5,51.0,229.0,high_performance
2762,34.0,M,171.3,63.3,23.4,85.0,129.0,33.2,12.9,37.0,195.0,mid_performance
2763,24.0,M,176.4,80.9,18.5,84.0,127.0,65.2,9.5,52.0,247.0,mid_performance
2764,25.0,F,163.0,47.5,26.9,83.0,132.0,24.5,18.2,43.0,132.0,mid_performance
2765,59.0,M,172.8,76.3,22.9,82.0,117.0,38.8,17.3,40.0,187.0,mid_performance
2766,22.0,M,176.8,80.2,21.6,86.0,127.0,28.2,-9.9,39.0,194.0,low_performance
2767,26.0,F,169.3,63.4,31.8,70.0,119.0,26.6,33.8,36.0,179.0,mid_performance
2768,64.0,M,155.6,70.0,29.7,84.0,138.0,37.7,10.4,27.0,151.0,low_performance
2769,40.0,F,163.5,60.1,26.8,93.0,117.0,35.9,21.7,46.0,168.0,high_performance
2770,21.0,M,165.1,64.76,25.0,84.0,124.0,32.6,16.8,46.0,197.0,mid_performance
2771,28.0,M,176.2,88.5,28.4,71.0,127.0,51.9,10.1,47.0,212.0,mid_performance
2772,46.0,M,174.0,69.9,22.6,87.0,159.0,38.5,7.9,44.0,206.0,mid_performance
2773,22.0,M,173.5,66.9,17.0,82.0,142.0,35.7,8.1,58.0,172.0,mid_performance
2774,30.0,M,182.5,77.0,24.3,83.0,125.0,40.8,0.3,41.0,204.0,low_performance
2775,33.0,M,171.7,58.7,16.5,80.0,140.0,41.7,26.2,49.0,226.0,high_performance
2776,22.0,M,176.0,75.3,31.3,89.0,128.0,29.1,19.3,40.0,189.0,low_performance
2777,23.0,M,169.6,55.3,14.4,80.0,147.0,34.6,3.1,41.0,236.0,low_performance
2778,21.0,M,164.7,69.0,14.4,83.0,112.0,46.8,27.0,57.0,234.0,high_performance
2779,28.0,M,166.9,71.0,18.7,72.0,129.0,47.2,15.8,58.0,230.0,high_performance
2780,43.0,M,185.2,91.7,17.7,93.0,156.0,56.4,10.5,49.0,221.0,mid_performance
2781,55.0,F,167.9,61.8,25.5,99.0,153.0,32.3,19.6,30.0,182.0,high_performance
2782,64.0,F,165.4,67.6,26.3,79.0,134.0,25.9,28.0,31.0,146.0,mid_performance
2783,62.0,M,165.0,67.4,18.8,89.0,139.0,43.0,11.5,34.0,174.0,mid_performance
2784,41.0,F,156.8,61.7,28.8,82.0,152.0,22.6,22.5,34.0,143.0,mid_performance
2785,25.0,F,164.8,53.5,22.4,93.0,131.0,27.7,20.1,38.0,163.0,mid_performance
2786,26.0,M,175.7,76.9,19.7,75.0,116.0,49.9,18.0,52.0,224.0,high_performance
2787,23.0,M,173.9,70.5,25.1,88.0,141.0,37.4,18.8,46.0,195.0,mid_performance
2788,61.0,F,154.2,70.5,43.1,64.0,121.0,19.7,17.2,0.0,52.0,low_performance
2789,29.0,F,168.3,59.4,25.1,69.0,116.0,26.1,24.2,46.0,139.0,mid_performance
2790,62.0,F,160.3,62.9,26.4,88.0,132.0,26.9,24.4,21.0,123.0,mid_performance
2791,30.0,F,160.4,57.3,31.5,66.0,118.0,24.2,14.0,39.0,139.0,mid_performance
2792,60.0,M,162.5,55.0,9.3,66.0,105.0,38.8,9.8,45.0,178.0,mid_performance
2793,57.0,F,162.1,71.4,39.1,82.0,150.0,28.6,18.0,15.0,114.0,mid_performance
2794,45.0,F,157.9,47.5,24.7,67.0,137.0,21.9,24.4,50.0,145.0,mid_performance
2795,59.0,F,157.5,81.9,45.5,64.0,122.0,25.4,21.6,0.0,65.0,low_performance
2796,30.0,M,176.0,77.0,22.0,84.0,126.0,42.0,11.0,46.0,210.0,mid_performance
2797,27.0,M,171.4,67.3,22.5,93.0,137.0,34.9,15.5,51.0,214.0,mid_performance
2798,34.0,M,173.0,73.0,20.3,81.0,133.0,49.3,12.2,38.0,235.0,mid_performance
2799,49.0,M,174.2,74.2,19.9,88.0,142.0,47.6,20.3,51.0,221.0,mid_performance
2800,28.0,M,177.0,74.1,14.0,99.0,147.0,52.8,26.4,59.0,249.0,high_performance
2801,44.0,M,170.3,73.1,26.0,89.0,130.0,45.1,20.5,38.0,210.0,mid_performance
2802,21.0,M,177.6,67.0,17.8,95.0,153.0,36.4,4.5,27.0,184.0,low_performance
2803,61.0,M,171.7,88.5,30.3,76.0,140.0,47.5,13.6,25.0,171.0,mid_performance
2804,58.0,M,165.7,65.34,20.9,77.0,135.0,27.2,11.7,16.0,179.0,low_performance
2805,32.0,M,169.8,58.7,14.8,68.0,107.0,37.1,22.3,60.0,216.0,high_performance
2806,29.0,F,166.1,61.9,19.3,64.0,124.0,34.2,24.7,43.0,161.0,high_performance
2807,24.0,M,179.2,80.3,18.2,92.0,145.0,52.7,22.1,44.0,231.0,mid_performance
2808,39.0,F,164.2,60.62,28.8,74.0,129.0,25.1,7.2,34.0,143.0,low_performance
2809,23.0,F,156.0,51.7,23.7,72.0,118.0,24.6,20.0,46.0,157.0,mid_performance
2810,27.0,M,181.8,79.4,19.3,89.0,134.0,23.5,14.7,45.0,211.0,mid_performance
2811,61.0,M,172.5,69.8,21.8,65.0,114.0,45.2,18.7,42.0,189.0,high_performance
2812,33.0,F,166.5,64.3,35.0,79.0,111.0,25.0,11.6,13.0,140.0,low_performance
2813,39.0,F,158.3,53.3,20.0,77.0,114.0,38.0,26.0,48.0,173.0,high_performance
2814,34.0,M,179.8,79.9,19.7,71.0,126.0,50.1,10.6,51.0,255.0,mid_performance
2815,62.0,M,169.3,76.1,18.4,80.0,154.0,45.9,17.1,33.0,184.0,high_performance
2816,44.0,M,164.1,72.1,38.9,88.0,124.0,20.6,7.1,5.0,120.0,low_performance
2817,60.0,M,163.6,60.1,20.5,96.0,141.0,33.5,18.8,18.0,180.0,low_performance
2818,44.0,M,160.2,44.9,14.8,82.0,141.0,36.5,21.3,50.0,221.0,high_performance
2819,28.0,F,173.0,64.3,25.4,78.0,126.0,32.5,27.0,48.0,207.0,mid_performance
2820,24.0,M,177.2,79.5,15.0,81.0,139.0,56.2,-2.5,56.0,245.0,low_performance
2821,62.0,F,153.6,55.1,26.7,81.0,132.0,17.0,23.6,28.0,143.0,high_performance
2822,43.0,F,159.9,47.38,13.5,72.0,127.0,22.1,24.9,34.0,159.0,high_performance
2823,30.0,M,169.0,71.9,15.0,92.0,147.0,51.7,25.5,46.0,228.0,mid_performance
2824,63.0,F,156.7,60.0,35.9,87.0,151.0,24.7,23.7,9.0,105.0,mid_performance
2825,21.0,M,180.0,76.6,25.5,90.0,134.0,39.9,13.6,28.0,219.0,low_performance
2826,63.0,M,178.5,83.3,24.9,82.0,152.0,35.3,15.0,33.0,180.0,mid_performance
2827,50.0,M,170.5,68.1,17.1,88.0,144.0,45.2,18.2,36.0,182.0,mid_performance
2828,61.0,M,154.0,53.0,28.0,66.0,148.0,30.1,4.5,19.0,175.0,mid_performance
2829,28.0,F,162.5,52.5,21.0,74.0,118.0,19.0,20.9,32.0,149.0,low_performance
2830,59.0,F,156.9,49.3,27.9,95.0,156.0,21.3,27.6,25.0,105.0,mid_performance
2831,50.0,M,166.9,68.4,27.5,79.0,133.0,37.8,25.4,38.0,175.0,mid_performance
2832,30.0,F,155.6,53.9,27.7,63.0,108.0,31.7,23.7,45.0,170.0,high_performance
2833,52.0,F,155.3,56.0,22.33,77.0,130.0,34.6,23.3,39.0,154.0,high_performance
2834,29.0,M,175.7,67.1,13.7,82.0,123.0,44.5,17.1,44.0,222.0,mid_performance
2835,30.0,M,181.5,74.34,18.1,80.0,138.0,45.2,11.5,50.0,226.0,mid_performance
2836,23.0,F,161.1,54.5,24.6,79.0,114.0,30.4,26.8,26.0,152.0,mid_performance
2837,33.0,F,161.7,57.6,23.6,78.0,121.0,29.6,19.4,56.0,173.0,high_performance
2838,61.0,M,162.3,64.8,20.2,92.0,150.0,32.6,8.8,21.0,170.0,mid_performance
2839,53.0,M,168.8,70.66,27.6,85.0,125.0,39.9,17.5,40.0,177.0,mid_performance
2840,37.0,M,170.2,70.5,27.6,74.0,139.0,34.8,18.9,43.0,240.0,low_performance
2841,58.0,F,155.7,53.4,26.6,92.0,139.0,28.2,21.2,35.0,153.0,mid_performance
2842,62.0,F,153.0,56.5,33.5,83.0,143.0,27.3,13.0,21.0,118.0,mid_performance
2843,25.0,M,175.9,71.5,19.5,76.0,143.0,35.6,14.6,46.0,177.0,mid_performance
2844,25.0,M,167.3,63.2,10.8,65.0,125.0,29.4,22.1,49.0,214.0,mid_performance
2845,31.0,F,159.3,52.9,15.4,87.0,127.0,31.3,20.1,48.0,190.0,high_performance
2846,52.0,F,155.4,56.9,34.7,77.0,125.0,22.9,11.7,11.0,112.0,low_performance
2847,26.0,M,176.7,60.8,13.4,66.0,118.0,43.1,11.5,52.0,236.0,mid_performance
2848,31.0,F,164.3,66.3,31.4,75.0,121.0,33.0,21.9,44.0,138.0,mid_performance
2849,32.0,F,160.4,58.7,30.6,65.0,109.0,34.2,21.4,42.0,158.0,high_performance
2850,35.0,M,171.6,94.7,36.8,97.0,145.0,34.0,-7.6,22.0,171.0,low_performance
2851,29.0,M,177.0,71.8,14.5,82.0,130.0,54.9,20.0,65.0,240.0,high_performance
2852,44.0,F,156.2,49.8,23.7,60.0,115.0,22.4,26.6,41.0,128.0,mid_performance
2853,25.0,M,170.5,68.1,10.8,67.0,112.0,39.7,9.4,59.0,247.0,mid_performance
2854,21.0,M,182.2,73.0,12.9,68.0,121.0,31.6,13.1,49.0,266.0,mid_performance
2855,24.0,M,170.6,78.6,20.3,60.0,142.0,43.1,18.3,59.0,237.0,mid_performance
2856,49.0,F,164.3,58.2,26.9,59.0,109.0,30.4,19.2,36.0,167.0,high_performance
2857,40.0,F,158.6,51.7,32.5,70.0,128.0,20.4,11.5,41.0,154.0,mid_performance
2858,32.0,M,178.1,88.0,21.6,74.0,138.0,58.1,22.5,54.0,230.0,high_performance
2859,23.0,M,176.0,69.5,10.2,86.0,143.0,54.0,11.2,70.0,227.0,mid_performance
2860,21.0,M,180.6,72.8,12.5,74.0,138.0,31.9,21.4,64.0,233.0,mid_performance
2861,34.0,M,176.7,73.1,14.4,68.0,117.0,46.0,0.4,38.0,230.0,low_performance
2862,24.0,F,160.2,55.6,22.4,59.0,103.0,25.3,26.4,32.0,178.0,mid_performance
2863,56.0,F,154.0,54.5,23.0,95.0,144.0,27.8,21.0,28.0,120.0,mid_performance
2864,23.0,M,172.5,73.8,21.8,79.0,144.0,43.5,20.0,68.0,178.0,mid_performance
2865,25.0,M,170.2,73.6,21.6,74.0,121.0,47.6,21.2,43.0,222.0,mid_performance
2866,36.0,F,165.3,52.3,21.0,62.0,117.0,22.7,20.1,25.0,156.0,mid_performance
2867,60.0,M,174.3,72.9,20.5,50.0,109.0,38.4,12.1,44.0,158.0,high_performance
2868,37.0,M,168.8,73.1,14.3,61.0,100.0,48.9,25.3,54.0,268.0,high_performance
2869,21.0,M,172.6,67.4,16.1,50.0,106.0,36.1,18.6,53.0,221.0,mid_performance
2870,49.0,F,152.3,47.6,30.0,75.0,111.0,18.6,18.1,23.0,165.0,low_performance
2871,48.0,M,168.0,80.5,25.4,84.0,130.0,51.0,7.1,23.0,195.0,low_performance
2872,32.0,M,175.1,76.5,19.4,91.0,140.0,41.9,19.7,48.0,245.0,mid_performance
2873,39.0,F,164.6,46.9,25.0,62.0,113.0,21.5,10.3,24.0,155.0,mid_performance
2874,45.0,M,163.2,53.9,15.3,79.0,112.0,36.9,16.2,37.0,211.0,mid_performance
2875,25.0,F,161.2,70.6,38.5,68.0,118.0,29.1,8.7,24.0,165.0,low_performance
2876,39.0,M,176.8,86.0,24.5,90.0,132.0,47.9,0.6,34.0,218.0,low_performance
2877,61.0,F,162.0,58.1,31.6,68.0,110.0,23.8,0.1,0.0,102.0,low_performance
2878,22.0,M,176.8,87.6,16.7,94.0,144.0,53.1,13.6,50.0,260.0,mid_performance
2879,23.0,M,168.1,84.8,34.0,92.0,143.0,36.7,-7.9,41.0,183.0,low_performance
2880,64.0,M,177.3,87.32,24.4,80.0,115.0,52.7,18.1,26.0,188.0,mid_performance
2881,40.0,M,169.4,68.8,19.7,88.0,124.0,44.0,23.5,51.0,232.0,high_performance
2882,43.0,M,159.4,63.4,25.9,92.0,147.0,38.9,14.4,50.0,194.0,mid_performance
2883,29.0,M,181.3,80.1,17.2,76.0,136.0,51.2,8.8,49.0,224.0,mid_performance
2884,21.0,M,171.3,68.2,15.2,78.0,112.0,47.6,17.4,69.0,220.0,mid_performance
2885,32.0,F,156.8,54.5,28.4,64.0,101.0,24.7,15.2,34.0,148.0,mid_performance
2886,63.0,M,164.8,59.0,16.8,98.0,158.0,41.3,10.5,45.0,170.0,mid_performance
2887,26.0,M,169.6,78.3,24.2,79.0,126.0,47.3,10.3,45.0,217.0,mid_performance
2888,32.0,M,182.5,84.7,24.5,83.0,117.0,43.2,4.3,46.0,188.0,low_performance
2889,54.0,M,172.2,75.6,20.9,83.0,158.0,48.1,19.2,35.0,210.0,mid_performance
2890,34.0,M,166.6,63.3,21.0,78.0,113.0,36.8,8.4,46.0,194.0,mid_performance
2891,24.0,M,184.7,38.6,9.0,81.0,137.0,55.0,19.6,56.0,242.0,high_performance
2892,22.0,M,178.0,72.3,13.8,83.0,133.0,42.7,8.2,51.0,239.0,mid_performance
2893,36.0,M,178.2,82.4,25.7,91.0,157.0,46.6,19.9,47.0,240.0,high_performance
2894,26.0,F,156.2,43.8,22.7,74.0,140.0,19.3,14.4,24.0,130.0,mid_performance
2895,33.0,M,181.0,88.5,19.3,77.0,117.0,53.4,19.9,47.0,248.0,mid_performance
2896,23.0,M,167.1,66.9,21.2,77.0,142.0,40.5,18.3,65.0,234.0,high_performance
2897,45.0,M,170.3,76.7,17.0,86.0,154.0,50.8,19.5,43.0,214.0,high_performance
2898,48.0,F,153.8,54.4,31.2,71.0,139.0,24.6,16.8,27.0,138.0,mid_performance
2899,62.0,M,172.4,75.5,24.3,97.0,159.0,41.7,12.1,38.0,181.0,high_performance
2900,23.0,M,173.8,66.3,12.5,84.0,137.0,45.2,12.7,51.0,225.0,mid_performance
2901,24.0,M,175.5,94.0,38.4,83.0,146.0,50.5,10.1,42.0,189.0,low_performance
2902,24.0,M,171.9,67.8,23.3,89.0,128.0,41.9,11.6,48.0,220.0,mid_performance
2903,28.0,M,172.9,70.2,15.2,89.0,142.0,49.5,16.4,57.0,231.0,high_performance
2904,21.0,M,174.6,79.4,18.3,88.0,140.0,38.3,10.8,46.0,222.0,mid_performance
2905,23.0,M,169.9,66.6,15.7,67.0,123.0,44.9,17.2,57.0,224.0,mid_performance
2906,28.0,M,168.5,76.9,18.9,92.0,145.0,44.7,24.0,59.0,235.0,high_performance
2907,39.0,F,161.3,54.6,31.0,78.0,117.0,22.7,15.0,23.0,155.0,mid_performance
2908,58.0,M,168.4,69.7,25.7,81.0,134.0,37.8,23.2,31.0,178.0,mid_performance
2909,23.0,M,182.1,74.66,23.2,83.0,138.0,40.4,13.2,23.0,212.0,low_performance
2910,33.0,M,167.7,71.6,24.5,85.0,137.0,45.4,13.0,50.0,222.0,mid_performance
2911,21.0,M,173.0,78.0,14.4,79.0,130.0,58.5,17.4,56.0,249.0,high_performance
2912,25.0,F,172.8,62.3,24.8,66.0,109.0,25.8,24.9,24.0,185.0,mid_performance
2913,22.0,F,149.8,50.8,33.8,69.0,126.0,20.5,19.9,25.0,133.0,mid_performance
2914,25.0,M,173.5,88.5,32.7,65.0,134.0,36.7,-4.5,24.0,177.0,low_performance
2915,31.0,M,168.4,84.0,27.4,93.0,146.0,48.6,12.0,47.0,176.0,mid_performance
2916,51.0,M,172.0,67.8,21.7,71.0,136.0,47.2,6.3,22.0,200.0,low_performance
2917,64.0,M,167.0,82.4,28.7,98.0,135.0,39.0,19.8,31.0,167.0,low_performance
2918,32.0,M,164.7,63.8,23.0,75.0,128.0,40.0,22.1,50.0,245.0,high_performance
2919,60.0,M,175.7,83.5,24.8,87.0,150.0,47.4,-0.6,36.0,190.0,low_performance
2920,37.0,M,173.3,66.0,16.5,68.0,119.0,42.0,12.2,39.0,229.0,mid_performance
2921,21.0,F,162.5,59.8,31.3,81.0,131.0,26.5,21.9,40.0,195.0,high_performance
2922,61.0,M,167.2,68.6,20.1,90.0,150.0,39.0,13.9,39.0,165.0,high_performance
2923,26.0,F,158.0,47.9,27.4,79.0,117.0,25.3,4.5,35.0,144.0,low_performance
2924,63.0,M,164.1,59.6,19.8,81.0,144.0,46.3,10.9,33.0,218.0,mid_performance
2925,25.0,F,160.9,63.0,33.0,69.0,98.0,24.2,19.7,32.0,175.0,mid_performance
2926,27.0,M,178.7,65.2,11.1,92.0,132.0,37.8,20.3,51.0,221.0,mid_performance
2927,59.0,M,160.3,59.1,22.9,81.0,153.0,31.4,14.5,35.0,166.0,mid_performance
2928,38.0,M,170.6,83.6,31.3,89.0,144.0,45.6,-1.3,44.0,179.0,low_performance
2929,21.0,F,164.0,53.9,26.4,63.0,103.0,25.1,21.2,30.0,171.0,mid_performance
2930,59.0,F,164.6,70.4,38.3,80.0,126.0,26.7,16.2,6.0,110.0,low_performance
2931,42.0,M,172.5,76.3,20.3,96.0,136.0,41.7,12.7,48.0,221.0,low_performance
2932,35.0,M,164.0,69.1,16.2,88.0,153.0,47.2,27.1,50.0,251.0,high_performance
2933,58.0,M,165.5,71.8,24.4,76.0,117.0,34.3,9.0,30.0,171.0,mid_performance
2934,39.0,M,177.1,75.3,24.9,90.0,153.0,49.1,6.8,31.0,194.0,low_performance
2935,21.0,M,171.0,75.7,15.8,89.0,150.0,34.1,7.2,43.0,251.0,mid_performance
2936,46.0,M,175.8,96.3,31.5,90.0,143.0,27.2,-4.1,27.0,192.0,low_performance
2937,50.0,F,156.9,52.5,28.0,88.0,134.0,19.6,3.4,27.0,141.0,low_performance
2938,34.0,M,179.1,85.6,28.9,83.0,123.0,40.7,12.0,50.0,196.0,low_performance
2939,39.0,M,181.8,68.8,18.2,66.0,112.0,41.1,-2.7,34.0,222.0,low_performance
2940,47.0,M,162.5,69.9,30.4,82.0,130.0,36.3,11.2,30.0,153.0,low_performance
2941,36.0,M,161.7,74.8,29.6,98.0,155.0,39.3,17.4,44.0,208.0,low_performance
2942,21.0,F,156.7,49.2,24.3,73.0,136.0,26.9,20.9,56.0,204.0,mid_performance
2943,25.0,M,174.4,65.3,16.3,76.0,130.0,42.0,23.1,46.0,222.0,mid_performance
2944,21.0,M,175.4,63.7,14.1,81.0,128.0,33.1,8.2,52.0,225.0,mid_performance
2945,50.0,F,163.6,50.6,22.1,80.0,140.0,25.3,25.1,31.0,128.0,mid_performance
2946,60.0,F,155.6,53.9,32.7,73.0,133.0,21.0,18.9,19.0,127.0,mid_performance
2947,25.0,M,172.0,64.5,22.9,62.0,96.0,37.3,-5.6,46.0,193.0,low_performance
2948,43.0,M,173.2,75.6,15.9,78.0,137.0,48.0,14.0,40.0,206.0,mid_performance
2949,23.0,M,172.0,72.0,15.8,81.0,119.0,34.2,18.8,60.0,200.0,mid_performance
2950,34.0,M,176.7,86.9,27.3,87.0,135.0,42.5,11.3,49.0,203.0,low_performance
2951,31.0,F,156.6,58.9,38.1,83.0,121.0,32.8,20.2,44.0,162.0,high_performance
2952,24.0,F,161.9,56.1,20.9,73.0,112.0,28.8,24.5,56.0,204.0,high_performance
2953,49.0,F,160.4,55.7,28.9,78.0,131.0,24.1,25.3,24.0,155.0,mid_performance
2954,25.0,F,162.6,57.54,27.4,78.0,118.0,25.5,25.9,49.0,153.0,high_performance
2955,57.0,F,155.0,48.0,29.9,61.0,111.0,24.2,20.1,11.0,125.0,mid_performance
2956,21.0,F,168.9,57.0,25.2,77.0,121.0,27.6,28.7,39.0,197.0,high_performance
2957,40.0,M,175.2,80.3,21.6,82.0,123.0,53.7,15.1,57.0,222.0,high_performance
2958,22.0,F,168.1,101.1,44.6,96.0,148.0,41.5,14.2,28.0,171.0,low_performance
2959,60.0,M,172.3,68.7,15.0,88.0,157.0,35.3,18.2,33.0,191.0,high_performance
2960,29.0,F,157.3,50.9,21.4,65.0,120.0,22.7,21.4,40.0,185.0,high_performance
2961,28.0,M,173.8,79.1,19.2,98.0,159.0,54.3,27.1,54.0,230.0,mid_performance
2962,27.0,M,170.4,68.4,20.1,75.0,137.0,47.2,19.0,61.0,200.0,mid_performance
2963,22.0,M,178.6,65.6,16.4,98.0,154.0,35.1,15.8,54.0,220.0,mid_performance
2964,27.0,F,163.6,54.9,29.3,99.0,144.0,28.9,29.6,30.0,177.0,mid_performance
2965,33.0,M,167.4,71.2,23.2,87.0,136.0,37.1,9.7,47.0,178.0,low_performance
2966,54.0,F,158.4,51.42,28.7,85.0,140.0,22.0,23.5,20.0,130.0,mid_performance
2967,23.0,M,166.8,87.6,34.5,87.0,138.0,45.0,11.5,49.0,215.0,mid_performance
2968,57.0,F,152.8,61.6,35.4,96.0,152.0,21.8,10.0,14.0,135.0,low_performance
2969,30.0,M,170.7,76.8,22.5,77.0,144.0,48.7,14.5,50.0,235.0,high_performance
2970,29.0,F,163.3,57.3,25.7,91.0,138.0,27.8,19.1,38.0,173.0,high_performance
2971,44.0,F,160.0,62.4,27.6,77.0,125.0,24.9,12.6,40.0,161.0,mid_performance
2972,29.0,F,162.0,56.62,22.1,65.0,113.0,26.5,14.0,32.0,157.0,mid_performance
2973,38.0,M,169.3,77.7,23.3,82.0,135.0,40.1,12.8,27.0,217.0,low_performance
2974,23.0,F,156.2,55.98,33.9,69.0,110.0,24.4,23.2,51.0,160.0,mid_performance
2975,27.0,M,175.0,74.1,15.6,67.0,142.0,41.7,17.0,55.0,230.0,high_performance
2976,43.0,M,167.4,74.4,28.2,92.0,137.0,42.7,0.3,34.0,182.0,low_performance
2977,22.0,F,164.3,61.6,28.3,82.0,117.0,27.0,17.7,40.0,151.0,mid_performance
2978,54.0,F,160.5,54.4,26.9,76.0,130.0,24.9,16.6,11.0,144.0,low_performance
2979,58.0,F,151.9,54.3,27.6,76.0,146.0,33.0,14.1,13.0,132.0,mid_performance
2980,26.0,M,172.8,65.3,17.0,96.0,159.0,51.9,10.4,48.0,218.0,mid_performance
2981,23.0,F,153.2,53.4,34.0,99.0,135.0,24.3,26.3,43.0,187.0,mid_performance
2982,59.0,F,155.3,48.7,26.1,71.0,123.0,17.0,17.6,0.0,107.0,low_performance
2983,37.0,F,153.5,56.9,25.6,92.0,139.0,32.3,25.3,59.0,170.0,high_performance
2984,53.0,F,156.1,62.3,37.5,78.0,119.0,18.7,14.0,2.0,135.0,low_performance
2985,37.0,F,163.2,45.4,18.4,79.0,125.0,27.0,26.4,30.0,168.0,mid_performance
2986,37.0,M,163.4,59.8,21.4,82.0,139.0,41.2,20.7,53.0,236.0,high_performance
2987,64.0,M,172.8,77.1,27.5,89.0,134.0,43.7,21.1,25.0,187.0,low_performance
2988,28.0,F,173.1,61.7,16.8,84.0,132.0,37.2,20.4,44.0,189.0,high_performance
2989,40.0,M,167.9,82.9,22.3,88.0,133.0,51.9,23.2,45.0,232.0,mid_performance
2990,38.0,M,167.7,69.8,20.2,68.0,137.0,38.5,13.4,54.0,226.0,mid_performance
2991,40.0,M,170.0,71.9,25.4,85.0,134.0,44.6,5.0,41.0,195.0,mid_performance
2992,30.0,M,171.8,79.7,31.9,88.0,133.0,27.8,5.0,42.0,171.0,low_performance
2993,21.0,M,171.5,80.0,20.6,71.0,128.0,42.6,8.9,44.0,243.0,mid_performance
2994,29.0,M,180.6,65.5,14.9,84.0,130.0,48.2,7.6,49.0,232.0,mid_performance
2995,39.0,F,170.0,51.5,16.8,55.0,100.0,30.6,23.5,29.0,140.0,mid_performance
2996,42.0,F,163.2,54.3,25.5,73.0,102.0,31.9,24.2,35.0,164.0,high_performance
2997,55.0,F,158.3,60.9,35.3,77.0,146.0,27.9,8.3,2.0,161.0,low_performance
2998,26.0,F,164.4,54.6,29.9,72.0,131.0,27.2,19.4,34.0,175.0,high_performance
2999,25.0,F,163.7,49.8,26.0,80.0,142.0,19.9,25.9,26.0,173.0,mid_performance
3000,22.0,F,162.3,51.0,25.0,80.0,118.0,25.0,22.9,33.0,160.0,mid_performance
3001,61.0,M,167.4,60.4,20.2,99.0,153.0,37.9,12.9,23.0,163.0,mid_performance
3002,27.0,M,173.9,65.9,14.6,82.0,120.0,50.7,17.9,59.0,235.0,high_performance
3003,25.0,M,177.5,75.9,21.7,86.0,152.0,41.8,22.2,57.0,237.0,mid_performance
3004,63.0,F,146.6,54.42,34.0,92.0,152.0,26.7,22.9,15.0,145.0,mid_performance
3005,25.0,F,163.7,61.6,31.8,63.0,108.0,29.0,25.0,40.0,161.0,mid_performance
3006,23.0,M,172.1,63.8,14.3,70.0,128.0,36.0,16.7,50.0,186.0,mid_performance
3007,28.0,F,143.8,72.6,48.7,85.0,136.0,12.6,0.1,4.0,20.0,low_performance
3008,24.0,M,172.5,62.1,23.3,80.0,118.0,32.0,0.0,34.0,180.0,low_performance
3009,40.0,M,168.2,77.8,29.4,80.0,134.0,40.4,10.4,24.0,209.0,low_performance
