id,age,gender,height_cm,weight_kg,body_fat_%,diastolic,systolic,gripForce,sit_and_bend_forward_cm,sit-ups_counts,broad_jump_cm,y_true,y_predict,high_performance,mid_performance,low_performance
3382,36-45,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,over_54,150-mid-229,mid_performance,mid_performance,0,1,0
3383,26-35,M,160-mid-176,55-mid-79,15-mid-30,over_89,over_144,26-mid-47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
3384,36-45,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,over_47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3385,36-45,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3386,<25,F,under_160,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,over_23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3387,26-35,M,over_176,55-mid-79,15-mid-30,68-mid-89,over_144,26-mid-47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
3388,26-35,M,160-mid-176,55-mid-79,15-mid-30,under_68,115-mid-144,26-mid-47,under_6,25-mid-54,over_229,low_performance,low_performance,0,0,1
3389,36-45,F,160-mid-176,55-mid-79,15-mid-30,68-mid-89,under_115,26-mid-47,over_23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3390,26-35,F,160-mid-176,55-mid-79,15-mid-30,under_68,under_115,26-mid-47,over_23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3391,26-35,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3392,26-35,M,160-mid-176,over_79,15-mid-30,68-mid-89,115-mid-144,over_47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
3393,<25,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,26-mid-47,over_23,over_54,over_229,high_performance,high_performance,1,0,0
3394,<25,F,160-mid-176,under_55,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3395,26-35,M,over_176,55-mid-79,under_15,68-mid-89,115-mid-144,under_26,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3396,<25,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3397,36-45,M,160-mid-176,over_79,15-mid-30,68-mid-89,115-mid-144,over_47,6-mid-23,over_54,over_229,mid_performance,mid_performance,0,1,0
3398,<25,M,160-mid-176,55-mid-79,under_15,under_68,under_115,26-mid-47,6-mid-23,over_54,150-mid-229,mid_performance,mid_performance,0,1,0
3399,>55,M,160-mid-176,55-mid-79,15-mid-30,under_68,under_115,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3400,46-55,F,under_160,under_55,15-mid-30,68-mid-89,under_115,under_26,6-mid-23,under_25,under_150,mid_performance,mid_performance,0,1,0
3401,26-35,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,over_47,under_6,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3402,46-55,F,under_160,55-mid-79,over_30,68-mid-89,115-mid-144,under_26,6-mid-23,25-mid-54,under_150,low_performance,low_performance,0,0,1
3403,26-35,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
3404,26-35,M,160-mid-176,55-mid-79,15-mid-30,over_89,under_115,26-mid-47,6-mid-23,over_54,150-mid-229,mid_performance,mid_performance,0,1,0
3405,<25,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,over_47,6-mid-23,over_54,150-mid-229,mid_performance,mid_performance,0,1,0
3406,26-35,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3407,26-35,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,over_47,6-mid-23,over_54,over_229,high_performance,high_performance,1,0,0
3408,>55,M,160-mid-176,over_79,over_30,68-mid-89,over_144,26-mid-47,under_6,25-mid-54,under_150,low_performance,low_performance,0,0,1
3409,26-35,M,160-mid-176,55-mid-79,15-mid-30,under_68,115-mid-144,26-mid-47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
3410,<25,F,160-mid-176,under_55,15-mid-30,68-mid-89,115-mid-144,under_26,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3411,36-45,F,under_160,55-mid-79,over_30,over_89,over_144,26-mid-47,6-mid-23,under_25,150-mid-229,low_performance,low_performance,0,0,1
3412,46-55,F,160-mid-176,55-mid-79,over_30,68-mid-89,over_144,26-mid-47,6-mid-23,under_25,under_150,low_performance,low_performance,0,0,1
3413,46-55,F,under_160,under_55,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3414,<25,F,160-mid-176,under_55,15-mid-30,under_68,under_115,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3415,46-55,F,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3416,26-35,M,160-mid-176,55-mid-79,15-mid-30,over_89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3417,<25,F,160-mid-176,under_55,15-mid-30,68-mid-89,115-mid-144,26-mid-47,under_6,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3418,36-45,M,over_176,55-mid-79,under_15,under_68,under_115,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3419,<25,M,over_176,over_79,15-mid-30,68-mid-89,115-mid-144,over_47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
3420,<25,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
3421,<25,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3422,<25,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,over_144,26-mid-47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
3423,<25,M,160-mid-176,over_79,under_15,over_89,over_144,over_47,6-mid-23,over_54,over_229,high_performance,high_performance,1,0,0
3424,26-35,M,over_176,over_79,15-mid-30,over_89,115-mid-144,over_47,6-mid-23,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3425,26-35,F,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,under_26,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3426,46-55,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3427,>55,F,under_160,under_55,over_30,over_89,over_144,under_26,6-mid-23,under_25,under_150,low_performance,low_performance,0,0,1
3428,36-45,F,160-mid-176,under_55,over_30,68-mid-89,115-mid-144,under_26,under_6,under_25,under_150,low_performance,low_performance,0,0,1
3429,46-55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,over_144,26-mid-47,under_6,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3430,<25,M,over_176,55-mid-79,under_15,under_68,under_115,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3431,<25,M,over_176,over_79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3432,26-35,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3433,<25,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,over_54,over_229,mid_performance,mid_performance,0,1,0
3434,36-45,M,160-mid-176,over_79,15-mid-30,68-mid-89,115-mid-144,over_47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3435,46-55,M,160-mid-176,55-mid-79,under_15,over_89,115-mid-144,26-mid-47,under_6,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3436,26-35,F,160-mid-176,under_55,15-mid-30,under_68,under_115,26-mid-47,over_23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3437,36-45,M,over_176,over_79,15-mid-30,68-mid-89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3438,26-35,F,under_160,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3439,26-35,M,160-mid-176,55-mid-79,under_15,under_68,over_144,over_47,6-mid-23,over_54,over_229,high_performance,high_performance,1,0,0
3440,26-35,M,160-mid-176,55-mid-79,15-mid-30,over_89,115-mid-144,over_47,6-mid-23,over_54,over_229,high_performance,high_performance,1,0,0
3441,<25,F,under_160,under_55,15-mid-30,68-mid-89,115-mid-144,under_26,over_23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3442,>55,F,under_160,under_55,15-mid-30,under_68,under_115,under_26,6-mid-23,under_25,under_150,mid_performance,mid_performance,0,1,0
3443,>55,F,under_160,under_55,15-mid-30,68-mid-89,115-mid-144,under_26,over_23,25-mid-54,under_150,high_performance,high_performance,1,0,0
3444,36-45,F,160-mid-176,under_55,15-mid-30,68-mid-89,115-mid-144,26-mid-47,over_23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3445,26-35,M,160-mid-176,over_79,15-mid-30,under_68,115-mid-144,over_47,6-mid-23,over_54,150-mid-229,low_performance,low_performance,0,0,1
3446,<25,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
3447,26-35,M,over_176,over_79,15-mid-30,68-mid-89,115-mid-144,over_47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3448,36-45,M,160-mid-176,55-mid-79,15-mid-30,over_89,115-mid-144,26-mid-47,under_6,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3449,36-45,F,under_160,under_55,15-mid-30,68-mid-89,under_115,under_26,over_23,under_25,under_150,low_performance,low_performance,0,0,1
3450,26-35,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,over_144,over_47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3451,>55,M,160-mid-176,55-mid-79,15-mid-30,over_89,over_144,26-mid-47,6-mid-23,under_25,150-mid-229,mid_performance,mid_performance,0,1,0
3452,26-35,F,160-mid-176,55-mid-79,over_30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3453,36-45,M,160-mid-176,over_79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3454,36-45,M,160-mid-176,55-mid-79,under_15,over_89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3455,46-55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,under_6,under_25,under_150,low_performance,low_performance,0,0,1
3456,46-55,M,over_176,over_79,15-mid-30,over_89,over_144,over_47,6-mid-23,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3457,<25,M,160-mid-176,over_79,15-mid-30,68-mid-89,115-mid-144,under_26,under_6,25-mid-54,under_150,low_performance,low_performance,0,0,1
3458,36-45,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,26-mid-47,under_6,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3459,46-55,F,under_160,55-mid-79,over_30,over_89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3460,>55,F,under_160,55-mid-79,over_30,under_68,115-mid-144,under_26,over_23,under_25,under_150,high_performance,high_performance,1,0,0
3461,36-45,M,over_176,over_79,15-mid-30,over_89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3462,>55,F,under_160,55-mid-79,over_30,68-mid-89,over_144,26-mid-47,6-mid-23,under_25,under_150,low_performance,low_performance,0,0,1
3463,26-35,F,160-mid-176,under_55,15-mid-30,68-mid-89,under_115,under_26,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3464,<25,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
3465,36-45,M,160-mid-176,55-mid-79,15-mid-30,over_89,over_144,26-mid-47,6-mid-23,under_25,150-mid-229,low_performance,low_performance,0,0,1
3466,<25,F,under_160,55-mid-79,15-mid-30,under_68,under_115,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3467,26-35,M,over_176,55-mid-79,under_15,68-mid-89,over_144,26-mid-47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
3468,46-55,F,160-mid-176,55-mid-79,over_30,68-mid-89,under_115,under_26,under_6,under_25,under_150,low_performance,low_performance,0,0,1
3469,36-45,M,over_176,over_79,over_30,over_89,over_144,26-mid-47,6-mid-23,under_25,150-mid-229,low_performance,low_performance,0,0,1
3470,46-55,M,160-mid-176,55-mid-79,15-mid-30,under_68,under_115,26-mid-47,under_6,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3471,36-45,F,under_160,under_55,15-mid-30,under_68,under_115,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3472,26-35,F,160-mid-176,under_55,15-mid-30,68-mid-89,115-mid-144,under_26,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3473,>55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3474,26-35,M,over_176,over_79,over_30,68-mid-89,115-mid-144,over_47,under_6,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3475,36-45,F,160-mid-176,55-mid-79,over_30,under_68,115-mid-144,under_26,under_6,under_25,under_150,low_performance,low_performance,0,0,1
3476,26-35,M,160-mid-176,under_55,under_15,under_68,under_115,26-mid-47,6-mid-23,over_54,150-mid-229,high_performance,high_performance,1,0,0
3477,<25,M,over_176,55-mid-79,15-mid-30,68-mid-89,over_144,26-mid-47,6-mid-23,over_54,over_229,mid_performance,mid_performance,0,1,0
3478,>55,F,under_160,55-mid-79,over_30,68-mid-89,115-mid-144,under_26,6-mid-23,under_25,under_150,mid_performance,mid_performance,0,1,0
3479,26-35,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,over_47,6-mid-23,over_54,over_229,high_performance,high_performance,1,0,0
3480,36-45,M,over_176,55-mid-79,15-mid-30,under_68,115-mid-144,26-mid-47,under_6,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3481,>55,M,over_176,55-mid-79,15-mid-30,over_89,over_144,over_47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3482,46-55,F,160-mid-176,55-mid-79,15-mid-30,under_68,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3483,>55,M,160-mid-176,55-mid-79,15-mid-30,over_89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3484,>55,M,160-mid-176,55-mid-79,over_30,68-mid-89,115-mid-144,under_26,under_6,under_25,under_150,low_performance,low_performance,0,0,1
3485,26-35,M,160-mid-176,55-mid-79,15-mid-30,under_68,115-mid-144,over_47,6-mid-23,25-mid-54,over_229,high_performance,high_performance,1,0,0
3486,<25,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
3487,>55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,under_6,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3488,26-35,F,under_160,over_79,over_30,over_89,over_144,under_26,6-mid-23,under_25,150-mid-229,low_performance,low_performance,0,0,1
3489,26-35,M,over_176,over_79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,under_6,25-mid-54,under_150,low_performance,low_performance,0,0,1
3490,<25,F,160-mid-176,under_55,15-mid-30,68-mid-89,115-mid-144,under_26,6-mid-23,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3491,>55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,under_25,150-mid-229,mid_performance,mid_performance,0,1,0
3492,<25,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,under_115,26-mid-47,6-mid-23,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3493,>55,M,160-mid-176,55-mid-79,15-mid-30,over_89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3494,26-35,F,160-mid-176,under_55,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3495,26-35,M,160-mid-176,55-mid-79,15-mid-30,over_89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3496,<25,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3497,<25,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,over_47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
3498,36-45,F,160-mid-176,under_55,over_30,under_68,under_115,under_26,6-mid-23,25-mid-54,under_150,mid_performance,mid_performance,0,1,0
3499,>55,F,under_160,under_55,15-mid-30,68-mid-89,115-mid-144,under_26,6-mid-23,under_25,under_150,low_performance,low_performance,0,0,1
3500,36-45,M,160-mid-176,under_55,under_15,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3501,26-35,M,160-mid-176,55-mid-79,under_15,under_68,115-mid-144,26-mid-47,6-mid-23,over_54,over_229,high_performance,high_performance,1,0,0
3502,26-35,F,160-mid-176,55-mid-79,15-mid-30,under_68,115-mid-144,26-mid-47,over_23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3503,<25,M,over_176,55-mid-79,under_15,68-mid-89,under_115,26-mid-47,under_6,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3504,36-45,M,160-mid-176,55-mid-79,under_15,under_68,115-mid-144,over_47,6-mid-23,over_54,over_229,high_performance,high_performance,1,0,0
3505,>55,F,under_160,under_55,over_30,under_68,115-mid-144,26-mid-47,6-mid-23,under_25,under_150,mid_performance,mid_performance,0,1,0
3506,26-35,M,over_176,over_79,15-mid-30,68-mid-89,115-mid-144,over_47,under_6,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3507,>55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3508,<25,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,26-mid-47,6-mid-23,over_54,over_229,high_performance,high_performance,1,0,0
3509,46-55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3510,36-45,F,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3511,46-55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3512,26-35,M,160-mid-176,over_79,15-mid-30,68-mid-89,115-mid-144,over_47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3513,46-55,M,160-mid-176,over_79,15-mid-30,over_89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3514,>55,F,under_160,under_55,15-mid-30,under_68,under_115,under_26,6-mid-23,under_25,150-mid-229,mid_performance,mid_performance,0,1,0
3515,46-55,F,160-mid-176,55-mid-79,over_30,under_68,under_115,under_26,6-mid-23,under_25,under_150,low_performance,low_performance,0,0,1
3516,<25,F,160-mid-176,55-mid-79,over_30,68-mid-89,under_115,under_26,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3517,46-55,F,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,26-mid-47,over_23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3518,46-55,F,160-mid-176,55-mid-79,over_30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,under_25,under_150,low_performance,low_performance,0,0,1
3519,>55,M,160-mid-176,55-mid-79,15-mid-30,under_68,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3520,<25,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,over_54,150-mid-229,mid_performance,mid_performance,0,1,0
3521,26-35,F,under_160,55-mid-79,15-mid-30,under_68,115-mid-144,26-mid-47,6-mid-23,under_25,150-mid-229,mid_performance,mid_performance,0,1,0
3522,26-35,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,26-mid-47,6-mid-23,over_54,over_229,mid_performance,mid_performance,0,1,0
3523,>55,M,160-mid-176,55-mid-79,15-mid-30,under_68,115-mid-144,26-mid-47,under_6,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3524,36-45,M,over_176,55-mid-79,15-mid-30,under_68,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3525,>55,M,160-mid-176,55-mid-79,15-mid-30,over_89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3526,26-35,M,160-mid-176,over_79,over_30,over_89,115-mid-144,26-mid-47,under_6,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3527,<25,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,over_47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
3528,26-35,M,160-mid-176,55-mid-79,under_15,under_68,115-mid-144,26-mid-47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
3529,36-45,M,160-mid-176,over_79,over_30,over_89,over_144,26-mid-47,under_6,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3530,>55,M,over_176,over_79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,under_6,under_25,150-mid-229,low_performance,low_performance,0,0,1
3531,26-35,M,160-mid-176,over_79,15-mid-30,under_68,115-mid-144,over_47,6-mid-23,over_54,over_229,high_performance,high_performance,1,0,0
3532,36-45,F,under_160,under_55,15-mid-30,under_68,under_115,under_26,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
3533,46-55,M,160-mid-176,over_79,over_30,over_89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3534,26-35,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
3535,26-35,M,160-mid-176,under_55,under_15,under_68,under_115,26-mid-47,under_6,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3536,>55,F,under_160,55-mid-79,15-mid-30,under_68,115-mid-144,under_26,6-mid-23,under_25,150-mid-229,mid_performance,mid_performance,0,1,0
3537,26-35,M,over_176,55-mid-79,15-mid-30,over_89,over_144,over_47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3538,26-35,F,under_160,under_55,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3539,36-45,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,over_54,150-mid-229,high_performance,high_performance,1,0,0
3540,<25,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3541,46-55,M,160-mid-176,55-mid-79,15-mid-30,under_68,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3542,>55,M,160-mid-176,55-mid-79,15-mid-30,over_89,over_144,26-mid-47,6-mid-23,under_25,150-mid-229,mid_performance,mid_performance,0,1,0
3543,46-55,M,160-mid-176,over_79,over_30,68-mid-89,115-mid-144,26-mid-47,under_6,under_25,under_150,low_performance,low_performance,0,0,1
3544,>55,M,160-mid-176,55-mid-79,over_30,68-mid-89,115-mid-144,26-mid-47,under_6,under_25,150-mid-229,low_performance,low_performance,0,0,1
3545,46-55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3546,26-35,M,160-mid-176,55-mid-79,15-mid-30,over_89,over_144,over_47,6-mid-23,over_54,over_229,high_performance,high_performance,1,0,0
3547,<25,M,over_176,over_79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3548,26-35,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,over_54,150-mid-229,mid_performance,mid_performance,0,1,0
3549,46-55,F,under_160,under_55,over_30,68-mid-89,115-mid-144,under_26,over_23,under_25,under_150,mid_performance,mid_performance,0,1,0
3550,<25,M,over_176,over_79,15-mid-30,under_68,under_115,26-mid-47,6-mid-23,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
3551,>55,M,160-mid-176,55-mid-79,15-mid-30,over_89,over_144,26-mid-47,over_23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3552,26-35,M,160-mid-176,55-mid-79,under_15,68-mid-89,over_144,over_47,over_23,over_54,over_229,high_performance,high_performance,1,0,0
3553,<25,M,160-mid-176,55-mid-79,15-mid-30,over_89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3554,46-55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3555,36-45,M,over_176,55-mid-79,under_15,68-mid-89,115-mid-144,over_47,6-mid-23,25-mid-54,over_229,high_performance,high_performance,1,0,0
